Gene	Bone Marrow	E14.5-Brain	Cerebellum	Cortex	E14.5-Heart	Heart	Intestine	Kidney	E14.5-Limb	E14.5-Liver	Liver	Lung	Olfactory	E14.5-Placenta	Spleen	Testis	Thymus
ENSMUSG00000109801	0	0	0	0	0	0	0	0	0	0.0215292	0	0	0	0	0	0	0
ENSMUSG00000037674	1.57068	15.05345	7.38647	4.342455	5.788145	0.86904	3.7921	1.53117	8.44091	3.240795	1.49384	1.774735	9.868385	3.564915	3.90164	3.49296	10.109
ENSMUSG00000035011	7.11899	2.309445	12.2362	7.62037	3.939675	4.202105	13.84235	5.720155	2.92836	11.24483	4.905805	7.22626	7.165135	3.16366	7.79909	0.7381045	5.58777
ENSMUSG00000050697	2.290975	5.42053	4.190375	2.998015	5.67346	1.61445	5.74575	2.028805	5.25062	8.263315	1.35531	2.81709	4.241885	5.59122	2.334655	2.513165	2.834365
ENSMUSG00000074665	0.02751	0.01717125	0	0.0224631	0	0	0	0	0	0	0	0	0.148783	0.10462315	0.033393	0.159168	0
ENSMUSG00000037679	11.81587	0.847227	2.148955	6.85987	2.06928	2.21707	1.190521	0.6188455	1.85755	1.969915	4.962995	4.58625	5.380265	16.88055	5.462055	0.0759165	2.422535
ENSMUSG00000036339	0.4121455	3.41244	2.25295	1.84985	2.17956	0.5743625	1.936025	1.522495	3.86377	1.58379	0.9932915	1.611515	2.9952	2.310635	1.28094	1.6565215	3.48725
ENSMUSG00000024350	0.5718265	6.692155	14.205	11.3072	4.3778	3.095905	0.784584	4.289375	5.281785	1.71783	1.374995	3.20128	9.777125	1.79301	1.88878	7.851985	3.48583
ENSMUSG00000048385	0.0153819	15.682	20.7649	9.95504	0.0271703	0	0.08351975	0	0.0281378	0.0427218	0.02838235	0.02965495	9.22212	0.0101393	0	0.945536	0.8924325
ENSMUSG00000023020	17.4619	23.0215	41.1394	18.91095	23.19465	53.34045	23.21565	50.92365	10.12005	16.7792	13.17315	17.7197	11.022675	11.01995	25.1061	2.3707	13.2227
ENSMUSG00000074651	0	0.3248315	0.02255395	0.06143185	0	0	0.01171285	0	0.02411575	0.00864275	0	0.215737	0	0	0	0	0
ENSMUSG00000023022	1.656545	3.661635	0.88193025	0.579457025	4.8235573	2.853775	23.755075	3.0139475	11.12954	2.1629533	2.19622	4.42688735	1.819965	13.8200415	2.52521875	1.750845	2.2147225
